Unnamed: 0,Name,z,rho,ang_sep,RA,DEC,cosmo,CreationDate,user,HM_0_500,HM_0_100,HM_100_200,HM_200_300,HM_300_400,HM_400_500,mstars,rvir,rho_rvir,gal_type,z_igmsys,log_rho
2244,J1151+5437_1_998,0.143144637346267,2590.449017197644,998.0639068804794,177.84141666666667,54.90307222222222,Planck15,2021-Mar-28,jnburchett,miss,miss,miss,miss,miss,miss,4288699039.111159,,,,0.1425,3.4133750493281707
2245,J1151+5437_43_1001,0.253242999315261,4076.100390891778,1000.9603183450024,178.16499583333334,54.82846833333333,Planck15,2021-Mar-28,jnburchett,hit,miss,hit,hit,miss,miss,1683787021.9033272,,,,0.252298,3.610244871770459
2246,J1151+5437_12_1001,0.079622246325016,1554.8107690940187,1001.318890302494,177.93504166666665,54.89797583333333,Planck15,2021-Mar-28,jnburchett,miss,miss,miss,miss,miss,miss,4005537893.3406935,,,,0.076326,3.1916775400258035
2247,J1151+5437_356_1002,0.153183847665786,2751.996749931317,1002.03636074364,177.804856223311,54.9036451654312,Planck15,2021-Mar-28,jnburchett,hit,hit,miss,miss,miss,miss,4288699039.111159,,,,0.15344,3.4396479166682234
2248,J1151+5437_291_1004,0.061338484287261,1227.1787754692093,1004.080477825845,177.38325586289,54.7232395984012,Planck15,2021-Mar-28,jnburchett,miss,miss,miss,miss,miss,miss,42771636818.39246,,,,0.061338,3.088907835379095
2249,J1151+5437_284_1008,0.058557443320751,1180.0193597238165,1008.024845227934,177.365330401018,54.6930556401573,Planck15,2021-Mar-28,jnburchett,miss,miss,miss,miss,miss,miss,6159509358.3893585,,,,0.058557,3.0718891325198996
2250,J1151+5437_339_1010,0.226203322410583,3781.808037308224,1010.1654613531794,177.66341666666668,54.888351388888886,Planck15,2021-Mar-28,jnburchett,hit,miss,miss,hit,miss,miss,10313901715.79291,,,,0.225085,3.5776994804969635
2251,J1151+5437_342_1010,0.215591728687286,3646.937011366359,1010.4757190024184,177.6864625,54.89308916666667,Planck15,2021-Mar-28,jnburchett,miss,miss,miss,miss,miss,miss,6380786738.629609,,,,0.215592,3.561928262394601
2252,J1151+5437_260_1013,0.302168011665344,4674.62933009895,1012.5363167288,177.35687083333335,54.57771305555556,Planck15,2021-Mar-28,jnburchett,miss,miss,miss,miss,miss,miss,5049524435.385571,,,,0.302168,3.669747179641728
2253,J1151+5437_126_1015,0.143414258956909,2639.3484605921103,1015.3002433542688,178.23,54.46121222222222,Planck15,2021-Mar-28,jnburchett,miss,miss,miss,miss,miss,miss,4084946058.474371,,,,0.1425,3.421496731835013
